,ISO,WYNAGRODZ,BEZROB,WOK,WKP,SPRZEDA¯_SAM,PRODUKCJA_SAM,UE,OGR_IMP_SAM
Maj 2001,17390,2163.44,17.6,72.00,-7,34143,35000,0,0
Czerwiec 2001,19353,2148.44,17.7,76.00,-12,31901,35500,0,0
Lipiec 2001,23041,2198.50,17.8,78.00,-2,25536,26300,0,0
Sierpieñ 2001,23668,2192.41,17.9,73.00,-10,24071,17600,0,0
Wrzesieñ 2001,22639,2217.55,18.1,70.00,-14,20906,29900,0,0
PaŸdziernik 2001,25751,2252.16,18.2,74.00,-18,23343,22800,0,0
Listopad 2001,25723,2302.46,18.7,79.00,-21,21076,24000,0,0
Grudzieñ 2001,24435,2474.11,19.4,74.00,-22,19090,19900,0,0
Styczen 2002,25546,2187.76,20.1,74.00,-14,23325,31600,0,0
Luty 2002,42247,2189.14,20.2,79.00,-12,24795,27300,0,0
Marzec 2002,46650,2252.19,20.1,68.00,-3,23742,25300,0,0
Kwiecieñ 2002,26698,2226.45,19.9,75.00,-5,25415,21900,0,0
Maj 2002,20488,2254.83,19.2,78.00,-6,26377,20400,0,0
Czerwiec 2002,18918,2232.05,19.4,74.00,-7,27296,22000,0,0
Lipiec 2002,19654,2288.90,19.4,75.00,-6,27931,25400,0,0
Sierpien 2002,20789,2252.72,19.5,77.00,-3,24674,4000,0,0
Wrzesieñ 2002,26975,2301.92,19.5,78.00,-2,23734,27800,0,1
PaŸdziernik 2002,7031,2263.31,19.5,80.47,-4,26693,27200,0,1
Listopad 2002,6588,2343.45,19.7,81.68,-4,25072,29800,0,1
Grudzieñ 2002,7434,2532.41,20.0,74.57,-8,24371,24900,0,1
Styczeñ 2003,4550,2246.51,20.6,77.76,0,27649,22900,0,1
Luty 2003,5736,2235.54,20.7,76.99,5,25093,11900,0,1
Marzec 2003,7266,2267.57,20.6,74.42,4,27583,28800,0,1
Kwiecieñ 2003,7648,2320.68,20.3,70.73,4,30975,25500,0,1
Maj 2003,7917,2254.40,19.8,77.39,5,30572,30500,0,1
Czerwiec 2003,8106,2301.00,19.7,81.03,3,29477,28400,0,1
Lipiec 2003,8567,2342.71,19.6,80.62,7,29095,33400,0,1
Sierpien 2003,7729,2295.08,19.5,81.71,10,23734,13400,0,1
Wrzesien 2003,10462,2353.11,19.4,82.18,7,30313,32600,0,1
PaŸdziernik 2003,13169,2331.08,19.3,76.34,5,31751,39900,0,1
Listopad 2003,11500,2439.59,19.5,77.07,4,30286,34900,0,1
Grudzien 2003,11177,2662.21,20.0,73.86,8,37106,35900,0,1
Styczen 2004,6846,2325.72,20.6,77.01,14,29148,40400,0,1
Luty 2004,9060,2377.37,20.6,75.16,13,30212,41200,0,1
Marzec 2004,11134,2427.28,20.5,71.85,17,39100,51000,0,1
Kwiecien 2004,13119,2427.09,20.0,72.47,19,45049,48100,0,1
Maj 2004,32013,2353.56,19.6,83.17,16,26037,47800,1,0
Czerwiec 2004,110282,2405.01,19.5,82.15,17,23164,49400,1,0
Lipiec 2004,130413,2428.12,19.3,78.95,18,22098,44100,1,0
Sierpien 2004,131208,2412.66,19.1,82.04,19,20255,23400,1,0
Wrzesien 2004,120510,2439.59,18.9,87.63,19,20560,47500,1,0
PaŸdziernik 2004,91426,2386.34,18.7,88.59,15,19674,45100,1,0
Listopad 2004,81473,2504.99,18.7,84.87,12,19217,44700,1,0
Grudzien 2004,112962,2748.11,19.1,91.22,7,23568,39500,1,0
Styczen 2005,54722,2385.39,19.5,91.53,9,22241,44100,1,0
Luty 2005,64364,2411.49,19.4,86.16,12,19826,44400,1,0
Marzec 2005,72841,2480.50,19.3,84.90,9,23922,45700,1,0
Kwiecien 2005,78209,2471.22,18.8,91.69,11,19340,46600,1,0
Maj 2005,85842,2423.92,18.3,89.01,12,20902,36500,1,0
Czerwiec 2005,80193,2512.78,18.0,87.85,10,23196,48900,1,0
Lipiec 2005,73236,2506.55,17.9,85.49,12,19610,43600,1,0
Sierpien 2005,73958,2480.56,17.7,88.77,14,17766,24400,1,0
Wrzesien 2005,69909,2483.99,17.6,89.02,12,17181,52300,1,0
PaŸdziernik 2005,69585,2538.88,17.3,92.74,9,15750,54100,1,0
Listopad 2005,67069,2677.75,17.3,96.82,8,17119,52400,1,0
Grudzien 2005,79833,2789.08,17.6,95.29,6,18664,47100,1,0
Styczen 2006,38429,2471.09,18.0,102.15,9,18680,49600,1,0
Luty 2006,38135,2526.22,18.0,97.02,10,18154,51400,1,0
Marzec 2006,50034,2613.67,17.8,95.97,12,21626,57100,1,0
Kwiecien 2006,61340,2570.05,17.2,93.36,15,19861,52100,1,0
Maj 2006,80225,2549.70,16.5,98.43,17,20444,56600,1,0
Czerwiec 2006,79457,2624.93,15.9,93.59,16,20978,56700,1,0
Lipiec 2006,74850,2647.80,15.7,88.11,17,18981,56700,1,0
Sierpien 2006,80999,2611.93,15.5,98.33,17,17444,29700,1,0
Wrzesien 2006,75787,2611.16,15.2,97.33,16,19097,60600,1,0
PaŸdziernik 2006,80955,2657.99,14.9,94.54,16,20874,60200,1,0
Listopad 2006,75478,2759.65,14.8,99.92,15,21260,54800,1,0
Grudzien 2006,81150,3027.51,14.9,101.25,14,21545,46800,1,0
Styczen 2007,70194,2663.55,15.1,104.80,20,22717,57500,1,0
